Company Name,Key ID,Address Line 1,City,Phone,URL,Revenue (As Reported),Employees,Match Status,CRM Company Name,CRM Group ID,CRM Company ID
Union Defence Force,123228858,Po Box 128889,Abu Dhabi,24415300,,,90100,,,,
Arabtec Holding PJSC,42386653,Al Muhairy Centre,Abu Dhabi,971-2-3336666,http://www.arabtecholding.com,8293031300.0,42000,,,,
Al Jaber Transport & General Contracting Llc,123046055,Po Box 2175,Abu Dhabi,25554300,,,40000,,,,
Arabian Construction Company - W L L,122882369,Po Box 2113,Abu Dhabi,26771225,,,30000,,,,
Abu Dhabi Group,104158751,PO Box 44222,Abu Dhabi,971-26266406,http://www.abudhabiigroup.com,71250203000.0,25000,,,,
EMKE Group LLC,42385871,PO Box 4048,Abu Dhabi,971-2-4182000,http://www.emkegroup.com,19830000000.0,22000,,,,
National Central Cooling Co PSC,44600285,"Abu Dhabi Mall, West Tower, 13th Floor,",Abu Dhabi,971-2-6455007,http://www.tabreed.ae,1130612100.0,16116,,,,
Abu Dhabi Water & Electricity Authority,107923724,,Abu Dhabi,971-26943333,http://www.adwea.ae,,15000,,,,
Al Jaber Group LLC,42385943,PO Box 2175,Abu Dhabi,971-2-5554300,http://www.aljaber.com/,28297900000.0,15000,,,,
